movie_title,release_date,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,worldwide_box_office
Black Adam,21/10/22,40,89,125,200000000,67004323,151024136,351824136
The Suicide Squad,05/08/21,90,82,132,185000000,26205415,55817425,167097737
Wonder Woman 1984,25/12/20,58,73,151,200000000,16701957,46801036,166360232
Birds of Prey (And the Fant…,07/02/20,79,78,109,82000000,33010017,84158461,201005552
Shazam!,05/04/19,90,82,132,85000000,53505326,140371656,363563907
Aquaman,21/12/18,65,73,143,160000000,67873522,335061807,1143758700
Justice League,17/11/17,39,68,119,300000000,93842239,229024295,655945209
Wonder Woman,02/06/17,93,83,141,150000000,103251471,412563408,817691766
Suicide Squad,05/08/16,26,58,123,175000000,133682248,325100054,745744980
Batman v Superman: Dawn of …,25/03/16,29,63,153,263000000,166007347,330360194,872395091
Man of Steel,14/06/13,56,75,143,225000000,116619362,291045518,667999518
